Kurs,Sex,sw_i,sw_r,kw_i,kw_r,koop,ss_dgk,ss_pgk,ss_igk,ss_vgk,ss_kgk,Out_just_1,Out_just_2,Out_just_3,Out_just_4,Out_just_5,Out_just_6,Out_just_7,Out_effi_1,Out_effi_2,Out_effi_3,Out_effi_4,Out_effi_5,Out_effi_6,Out_effi_7
2,1,0.666666666666667,0.625,0.5,0.733333333333333,0.261904761904762,4,4,3.25,4.33333333333333,3.5,0.375,0.166666666666667,0.428571428571429,,0.5,0.25,0.125,0.06,0.041,0.051,,0.1,0.049,0.065
1,1,0.523809523809524,0.4375,0.65,0.733333333333333,0.297619047619047,4.8,5,5,5,5,0.25,0.5,0.428571428571429,0.4,0.333333333333333,0.125,,0.075,0.109,0.056,0.039,0.052,0.111,
3,1,0.476190476190476,0.375,0.6,0.6,0.333333333333333,4.8,4.75,5,5.33333333333333,4.25,0.125,0,0.142857142857143,0.2,0.333333333333333,0.125,0,0.059,0.061,0.064,0.045,0.098,0.032,0.035
1,2,0.476190476190476,0.375,0.7,0.733333333333333,0.345238095238095,4,3.25,4.75,4.66666666666667,3.75,0.375,0.666666666666667,0,0.4,0.166666666666667,0.375,0.375,0.038,0.077,0.051,0.05,0.109,0.043,0.037
1,1,0.714285714285714,0.4375,0.55,0.6,0.297619047619047,5.2,4.75,5.25,5,5.25,0.125,0.666666666666667,0.571428571428571,0.6,0.666666666666667,0.375,0.5,0.051,0.085,0.05,0.05,0.088,0.088,0.02
1,1,0.571428571428571,0.3125,0.3,0.6,0.273809523809524,4.8,3.75,4.75,5.33333333333333,4.75,,,,,,0.125,0,,,,,,0.083,0.043
3,1,0.380952380952381,0.4375,0.55,0.333333333333333,0.345238095238095,4.6,4.5,4.75,5.33333333333333,4.25,0,0,0,,,0,,0.044,0.106,0.068,,,0.084,
1,1,0.666666666666667,0.5625,0.75,0.933333333333333,0.285714285714286,3.8,3,3.25,3.66666666666667,4,0.375,0.5,,0.4,0.666666666666667,0.375,0.375,0.066,0.06,,0.038,0.04,0.091,0.04
2,2,0.476190476190476,0.3125,0.4,0.533333333333333,0.297619047619047,4.6,4,5,5,4.5,0.125,0,,0.2,0.333333333333333,0.25,,0.068,0.059,,0.068,0.444,0.16,
1,1,0.761904761904762,0.5,0.7,0.733333333333333,0.369047619047619,4.8,4,4.75,5,5.25,0,0.5,0.428571428571429,0.4,0.5,0.25,,0.035,0.087,0.056,0.033,0.085,0.092,
2,1,0.476190476190476,0.25,0.6,0.4,0.333333333333333,4.8,5,4,5.33333333333333,4.75,0.25,,,0.6,,0.625,0.625,0.053,,,0.076,,0.062,0.054
1,1,0.619047619047619,0.4375,0.55,0.8,0.297619047619048,5.2,4.75,5,5,4.5,0.5,0.833333333333333,0.571428571428571,0.6,0.833333333333333,0.375,0.375,,0.1,0.1,0.04,0.15,0.122,0.056
3,1,0.476190476190476,0.375,0.55,0.8,0.285714285714286,4,4.25,4.75,5,4,,0.166666666666667,0.571428571428571,,0.5,,,0.071,0.064,0.039,,,,
1,1,0.428571428571429,0.4375,0.5,0.666666666666667,0.309523809523809,5,4.25,4.5,4,3.75,0.625,0.333333333333333,,0.2,0.666666666666667,0.375,0.375,0.08,,,0.026,0.065,0.1,0.034
2,2,0.571428571428571,0.3125,0.45,0.533333333333333,0.333333333333333,4,4.5,3.75,4.66666666666667,4.25,,0.5,,,0.5,0,,0.091,0.025,,,,0.082,
1,1,0.80952380952381,0.75,0.8,0.733333333333333,0.285714285714286,5,5.25,6,4.66666666666667,5.25,0.25,0.5,0.571428571428571,0.2,0.5,0.125,0.375,0.069,0.107,0.056,0.059,0.055,0.091,0.111
1,1,0.666666666666667,0.375,0.65,0.466666666666667,0.333333333333333,4.6,4,3.5,4.66666666666667,4,0.375,0.666666666666667,,0.6,0.333333333333333,0.5,0.375,0.122,0.071,,0.066,0.109,0.088,0.113
3,1,0.428571428571429,0.3125,0.75,0.733333333333333,0.202380952380952,4.2,3.75,4.25,3.66666666666667,3.75,0.375,0.833333333333333,0.714285714285714,0.2,,0.5,,0.062,0.085,0.06,0.171,,0.121,
3,2,0.428571428571429,0.25,0.55,0.466666666666667,0.345238095238095,4.2,3.75,4.25,4,4,0,0.666666666666667,,0.4,,0.375,,0.098,0.133,,0.139,,0.072,
3,2,0.523809523809524,0.3125,0.65,0.666666666666667,0.321428571428571,4.6,4.25,4.75,4.33333333333333,4.75,0.625,0.833333333333333,,0.4,0.833333333333333,,,0.075,0.111,,0.055,0.128,,
2,1,0.619047619047619,0.5,0.8,0.866666666666667,0.285714285714286,4,4.25,4.5,4,4.5,0.375,0.833333333333333,0.571428571428571,0.2,0.666666666666667,0.375,,0.064,0.096,0.06,,0.061,0.059,
3,1,0.476190476190476,0.5,0.8,0.8,0.333333333333333,4.2,4.5,4.75,4.66666666666667,4.75,,0.833333333333333,,0.6,0.5,0.625,0.625,,0.046,,0.033,0.092,0.033,0.033
3,1,0.619047619047619,0.375,0.55,0.466666666666667,0.309523809523809,4.8,4.75,4.25,5.33333333333333,5,0.875,0.666666666666667,,0.2,0.5,0.5,0.375,0.061,0.069,,0.051,0.039,0.169,0.066
1,1,0.619047619047619,0.4375,0.75,0.666666666666667,0.238095238095238,2.6,5.5,4,3.66666666666667,2.5,0.125,0.833333333333333,0.714285714285714,,0.5,0.125,0.375,0.036,0.09,0.081,,0.118,0.066,0.042
1,1,0.571428571428571,0.4375,0.3,0.533333333333333,0.285714285714286,4.8,4.5,5,5.66666666666667,5.5,0.375,0.666666666666667,,,0.666666666666667,0.125,0.625,0.037,0.063,,,0.066,0.062,0.092
3,1,0.761904761904762,0.5,0.75,0.866666666666667,0.273809523809524,5.8,5.5,5,6,5.5,0.375,0.833333333333333,0.857142857142857,1,1,0.875,0.5,0.053,0.104,0.054,0.054,0.118,0.084,0.031
2,1,0.571428571428571,0.375,0.7,0.6,0.321428571428571,4.6,4.5,4,4,4.5,0.625,0.5,0.571428571428571,,0.666666666666667,0.625,0.5,0.061,0.054,0.083,,0.041,0.065,0.062
2,1,0.476190476190476,0.4375,0.6,0.733333333333333,0.285714285714286,4,4,4.5,4.33333333333333,4.5,0,0.166666666666667,,,0.666666666666667,0.375,,0.048,,,,0.099,0.065,
1,1,0.523809523809524,0.375,0.55,0.8,0.333333333333333,4.8,4,4.25,5.66666666666667,5,0.5,0.333333333333333,0.714285714285714,0,0.666666666666667,0.125,0,0.081,0.056,0.072,0.026,0.082,0.143,0.049
3,1,0.571428571428571,0.375,0.65,0.533333333333333,0.345238095238095,4.2,4,4.5,5,4.75,0.125,0.666666666666667,0.285714285714286,,0.5,0.375,0.625,0.058,0.035,0.049,,0.077,0.054,0.033
3,2,0.380952380952381,0.5,0.7,0.733333333333333,0.345238095238095,3.8,4.25,4.75,5.33333333333333,5.25,0.75,1,,0.8,0.833333333333333,0.125,,0.066,0.035,,0.035,0.098,0.114,
1,2,0.80952380952381,0.625,0.75,0.933333333333333,0.333333333333333,4.8,4.25,5,5.66666666666667,4.75,0.25,0.666666666666667,,0.2,0.833333333333333,0.125,0.125,0.042,0.101,,0.131,0.095,0.049,0.053
2,1,0.428571428571429,0.3125,0.45,0.466666666666667,0.321428571428571,4.2,3.75,3.25,4,4.75,,0.5,0.428571428571429,,0.833333333333333,0.5,0.625,,0.099,0.066,,0.093,0.035,0.078
1,1,0.761904761904762,0.375,0.6,0.533333333333333,0.321428571428571,3.8,4,4.75,4.33333333333333,4,0,0.5,,0.2,,0.125,,0.042,0.062,,0.11,,0.112,
3,2,0.380952380952381,0.3125,0.6,0.733333333333333,0.309523809523809,4,4.75,4.25,5,5,0.25,0.833333333333333,,0.4,0.666666666666667,0.5,0.25,0.051,0.086,,0.042,0.038,0.071,0.058
3,1,0.666666666666667,0.3125,0.65,0.666666666666667,0.273809523809524,3.2,3.5,4.25,4.33333333333333,4.25,0.5,0.5,,0.2,0.5,0.125,0.375,0.096,0.143,,0.217,0.094,0.223,0.044
3,1,0.666666666666667,0.5,0.7,0.866666666666667,0.297619047619048,5.2,4.5,4.75,5,3.75,0.375,0.833333333333333,0.857142857142857,1,0.833333333333333,0.625,0.75,0.065,0.059,0.059,0.029,0.074,0.135,0.052
3,1,0.761904761904762,0.3125,0.7,0.8,0.309523809523809,3,4,3.5,4.33333333333333,3.75,0,0.333333333333333,0.428571428571429,0.6,0.333333333333333,0.375,0.5,0.098,0.062,0.106,0.218,0.16,0.139,0.055
1,1,0.571428571428571,,0.85,0.866666666666667,0.285714285714286,4.4,4,4.5,4.66666666666667,4.5,0.625,0.833333333333333,,0.8,,0.625,0.625,0.062,0.091,,,,0.062,0.066
3,2,0.619047619047619,0.375,0.6,0.733333333333333,0.297619047619047,4,3.25,4.25,3.66666666666667,3.75,0.125,0.166666666666667,,,0.166666666666667,0,0.125,0.064,0.081,,,0.094,0.043,0.081
3,1,0.80952380952381,,0.7,0.8,0.202380952380952,3.8,3.75,4,4.33333333333333,4.5,0.625,0.666666666666667,0.571428571428571,0.6,0.666666666666667,0.5,0.625,0.061,0.054,0.056,0.101,0.094,0.102,0.007
1,1,0.666666666666667,0.5625,0.65,0.733333333333333,0.321428571428571,4,3.75,4,5.33333333333333,4.5,0.75,,,1,,,,,,,,,,
2,1,0.666666666666667,0.4375,0.6,0.666666666666667,0.333333333333333,,4.5,4.5,4.66666666666667,4.25,0.25,0.5,,0.8,0.666666666666667,0.625,0.5,0.046,0.065,,0.028,0.036,0.059,0.048
